,Unnamed: 0,CLDD,DP01,DP05,DT32,DX32,DX90,FZF0,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN,Year,Location,NO_SNOW_FLAG,CLT,RDU,Reagan_Intl,SPLIT
0,0,721.9,131,35,50,0,28,0.0,1834.8,1280.4,138,15.82,21.95,9.68,1946,RDU,0,0.0,1.0,0.0,0
1,1,855.3,133,28,92,3,44,0.0,1905.6,1168.2,99,14.83,20.89,8.77,1947,RDU,1,0.0,1.0,0.0,1
2,2,856.4,149,39,61,8,49,0.0,1978.7,1327.1,622,15.48,21.72,9.23,1948,RDU,0,0.0,1.0,0.0,1
3,3,903.8,126,27,58,0,44,-1.1,1611.2,1106.1,0,16.33,22.36,10.29,1949,RDU,1,0.0,1.0,0.0,0
4,4,840.5,125,22,77,1,44,0.0,1709.7,962.2,8,15.47,21.78,9.16,1950,RDU,1,0.0,1.0,0.0,1
5,5,878.2,113,30,80,4,60,-1.7,1964.4,877.4,30,15.61,22.28,8.94,1951,RDU,1,0.0,1.0,0.0,1
6,6,921.6,109,28,66,0,66,0.0,1791.5,1249.8,119,15.71,22.05,9.36,1952,RDU,0,0.0,1.0,0.0,0
7,7,939.8,92,24,59,0,72,0.0,1788.5,915.3,15,16.27,22.9,9.64,1953,RDU,1,0.0,1.0,0.0,1
8,8,968.6,102,35,77,1,59,-3.3,1811.3,1057.9,225,15.6,22.26,8.94,1954,RDU,0,0.0,1.0,0.0,0
9,9,858.2,105,27,83,2,42,0.0,1914.0,1038.1,366,15.32,21.45,9.19,1955,RDU,0,0.0,1.0,0.0,1
10,10,840.4,110,23,71,0,51,-1.1,2111.4,1013.9,51,15.5,21.61,9.39,1956,RDU,1,0.0,1.0,0.0,1
11,11,877.1,121,28,57,3,42,-2.8,1734.3,1175.5,25,15.59,21.54,9.64,1957,RDU,1,0.0,1.0,0.0,1
12,12,762.8,100,32,84,7,33,0.0,2217.6,1158.4,444,14.12,20.01,8.21,1958,RDU,0,0.0,1.0,0.0,1
13,13,905.1,115,36,79,3,38,0.0,1994.7,1243.8,73,15.46,21.59,9.33,1959,RDU,1,0.0,1.0,0.0,1
14,14,806.3,103,37,101,6,39,-1.1,2175.9,1219.8,474,14.4,20.56,8.23,1960,RDU,0,0.0,1.0,0.0,1
15,15,786.3,118,33,78,5,41,-0.6,2118.7,1044.8,96,14.84,21.07,8.61,1961,RDU,1,0.0,1.0,0.0,0
16,16,788.5,108,34,87,4,28,-2.8,2032.8,1227.1,408,14.54,20.52,8.57,1962,RDU,0,0.0,1.0,0.0,1
17,17,679.7,105,22,90,6,36,-1.1,2182.5,937.8,178,14.17,20.68,7.67,1963,RDU,0,0.0,1.0,0.0,1
18,18,748.0,121,28,78,2,25,-1.7,2099.5,1090.3,98,14.91,21.21,8.6,1964,RDU,1,0.0,1.0,0.0,1
19,19,811.3,92,22,84,3,26,-1.1,2028.9,875.1,333,15.06,21.5,8.63,1965,RDU,0,0.0,1.0,0.0,1
20,20,813.3,106,31,79,3,42,-1.7,2046.6,1006.2,326,14.8,20.89,8.7,1966,RDU,0,0.0,1.0,0.0,1
21,21,696.9,105,27,73,1,17,-0.6,1880.6,1005.7,280,15.03,21.27,8.8,1967,RDU,0,0.0,1.0,0.0,0
22,22,771.8,101,26,101,4,41,-1.1,2097.4,904.5,158,14.67,21.29,8.06,1968,RDU,0,0.0,1.0,0.0,0
23,23,681.3,92,30,104,1,15,-3.3,2133.1,1055.1,257,13.83,19.97,7.69,1969,RDU,0,0.0,1.0,0.0,1
24,24,746.8,101,27,96,10,17,0.0,2380.5,915.1,66,14.33,20.71,7.95,1970,RDU,1,0.0,1.0,0.0,1
25,25,753.9,107,31,79,7,18,-0.6,2128.5,1159.9,229,14.99,21.02,8.95,1971,RDU,0,0.0,1.0,0.0,0
26,26,624.6,128,42,65,2,15,-2.2,1775.0,1314.3,102,14.68,20.6,8.76,1972,RDU,0,0.0,1.0,0.0,1
27,27,797.8,108,30,76,7,17,-1.1,1952.1,1180.0,358,15.41,21.71,9.12,1973,RDU,0,0.0,1.0,0.0,1
28,28,715.5,115,33,63,1,17,0.0,1583.9,1035.5,74,15.36,21.41,9.31,1974,RDU,1,0.0,1.0,0.0,0
29,29,781.4,114,36,72,0,33,0.0,2029.6,1189.4,81,15.31,21.49,9.13,1975,RDU,1,0.0,1.0,0.0,1
30,30,787.4,98,24,88,3,41,0.0,1698.0,856.9,10,14.86,21.52,8.19,1976,RDU,1,0.0,1.0,0.0,1
31,31,921.2,98,25,90,6,56,-1.7,2409.0,942.3,92,14.77,21.33,8.2,1977,RDU,1,0.0,1.0,0.0,1
32,32,905.4,111,33,83,2,55,0.0,2279.1,1091.6,269,15.03,21.31,8.75,1978,RDU,0,0.0,1.0,0.0,1
33,33,688.0,107,32,78,2,18,-1.1,1880.1,1152.5,448,14.76,21.0,8.53,1979,RDU,0,0.0,1.0,0.0,1
34,34,979.3,110,23,78,8,57,0.0,2009.0,905.6,543,15.19,21.35,9.02,1980,RDU,0,0.0,1.0,0.0,0
35,35,825.1,94,24,92,4,39,-1.7,2166.3,924.0,66,14.59,20.82,8.36,1981,RDU,1,0.0,1.0,0.0,0
36,36,860.6,126,33,59,6,32,0.0,2033.6,1126.8,167,15.63,21.42,9.84,1982,RDU,0,0.0,1.0,0.0,1
37,37,825.2,118,37,78,4,51,-1.7,1950.1,1200.1,299,14.71,20.72,8.71,1983,RDU,0,0.0,1.0,0.0,1
38,38,736.6,107,36,79,2,18,-1.1,2137.5,1175.7,175,15.0,21.02,8.97,1984,RDU,0,0.0,1.0,0.0,1
39,39,780.6,101,26,77,5,31,0.0,1854.0,970.3,104,15.31,21.26,9.36,1985,RDU,0,0.0,1.0,0.0,0
40,40,993.1,96,24,68,2,57,0.0,1773.1,938.6,24,16.0,21.93,10.06,1986,RDU,1,0.0,1.0,0.0,0
41,41,942.2,107,27,81,3,50,-0.6,1969.5,1069.0,290,15.34,21.37,9.31,1987,RDU,0,0.0,1.0,0.0,1
42,42,805.7,110,32,79,6,51,-0.6,2064.1,956.9,188,14.69,21.04,8.35,1988,RDU,0,0.0,1.0,0.0,1
43,43,884.9,147,38,71,9,32,-1.7,1966.4,1375.8,372,15.16,20.9,9.41,1989,RDU,0,0.0,1.0,0.0,0
44,44,958.6,115,26,39,0,48,-0.6,1708.8,954.4,0,17.09,23.44,10.74,1990,RDU,1,0.0,1.0,0.0,1
45,45,1018.0,106,23,61,0,48,0.0,1537.4,901.2,0,16.54,22.52,10.57,1991,RDU,1,0.0,1.0,0.0,0
46,46,740.0,120,24,69,0,22,-2.2,1795.8,1097.0,0,15.22,20.96,9.47,1992,RDU,1,0.0,1.0,0.0,0
47,47,978.1,115,25,74,2,59,-2.2,1948.3,967.2,143,15.55,21.59,9.51,1993,RDU,0,0.0,1.0,0.0,1
48,48,816.8,125,27,50,4,33,0.0,1931.3,925.2,33,15.74,21.81,9.67,1994,RDU,1,0.0,1.0,0.0,0
49,49,939.6,109,32,68,1,44,-2.8,1680.5,1234.1,56,15.61,21.42,9.81,1995,RDU,1,0.0,1.0,0.0,1
50,50,813.2,137,40,86,7,32,-2.2,2155.6,1502.7,371,14.87,20.78,8.95,1996,RDU,0,0.0,1.0,0.0,1
51,51,774.7,113,24,63,2,50,-0.6,1872.1,1037.1,21,14.99,21.39,8.58,1997,RDU,1,0.0,1.0,0.0,1
52,52,979.7,130,34,51,0,60,-1.7,1895.7,1339.2,51,16.38,22.5,10.26,1998,RDU,1,0.0,1.0,0.0,0
53,53,884.5,104,30,70,2,53,-1.1,1678.7,1287.0,0,15.96,22.53,9.39,1999,RDU,1,0.0,1.0,0.0,1
54,54,832.8,117,25,87,4,43,-0.6,1804.5,1000.4,715,15.01,21.23,8.77,2000,RDU,0,0.0,1.0,0.0,1
55,55,889.8,109,22,64,0,39,-0.6,2017.4,884.1,8,16.07,22.53,9.6,2001,RDU,1,0.0,1.0,0.0,1
56,56,1050.3,108,32,72,3,67,0.0,1676.1,1203.2,332,16.07,22.21,9.93,2002,RDU,0,0.0,1.0,0.0,0
57,57,793.2,135,36,76,3,30,-1.7,2019.8,1270.6,129,15.24,20.94,9.55,2003,RDU,0,0.0,1.0,0.0,1
58,58,948.1,114,37,75,5,33,-0.6,1867.3,1195.0,379,15.88,21.61,10.16,2004,RDU,0,0.0,1.0,0.0,1
59,59,1040.4,118,24,76,3,67,0.0,1786.0,954.9,23,16.06,22.22,9.9,2005,RDU,1,0.0,1.0,0.0,1
60,60,890.2,107,34,54,0,50,0.0,1710.8,1364.5,0,16.25,22.54,9.96,2006,RDU,1,0.0,1.0,0.0,0
61,61,1151.4,92,23,61,0,83,-1.1,1678.4,910.1,40,16.98,23.48,10.48,2007,RDU,1,0.0,1.0,0.0,0
62,62,956.6,116,34,57,0,55,-2.2,1577.0,1282.2,23,16.31,22.44,10.18,2008,RDU,1,0.0,1.0,0.0,1
63,63,1023.6,128,28,60,1,61,-1.7,1734.5,1027.5,173,16.24,21.99,10.5,2009,RDU,0,0.0,1.0,0.0,1
64,64,1262.0,101,23,86,3,91,-1.1,1928.4,939.0,410,16.22,22.38,10.06,2010,RDU,0,0.0,1.0,0.0,0
65,65,1159.9,100,30,58,2,67,-1.1,1864.2,1109.7,18,16.96,23.15,10.77,2011,RDU,1,0.0,1.0,0.0,1
66,66,1015.1,121,25,44,0,51,-0.6,1432.6,1036.6,23,16.94,22.93,10.96,2012,RDU,1,0.0,1.0,0.0,1
67,67,849.7,119,36,70,1,28,-1.6,1872.5,1288.3,44,15.39,20.9,9.88,2013,RDU,1,0.0,1.0,0.0,1
68,68,897.2,116,36,75,5,43,-1.6,1956.9,1404.2,147,15.31,21.19,9.43,2014,RDU,0,0.0,1.0,0.0,1
69,69,1039.4,129,39,61,6,52,0.0,1960.7,1450.6,201,16.54,22.23,10.86,2015,RDU,0,0.0,1.0,0.0,1
70,0,632.2,110,23,58,6,18,0.0,2254.5,854.8,342,14.48,19.53,9.43,1946,Reagan_Intl,0,0.0,0.0,1.0,0
71,1,779.1,110,24,90,6,18,0.0,2291.5,918.7,543,13.61,18.38,8.84,1947,Reagan_Intl,0,0.0,0.0,1.0,0
72,2,715.5,134,40,70,19,25,-1.1,2482.4,1462.3,559,13.67,18.6,8.74,1948,Reagan_Intl,0,0.0,0.0,1.0,1
73,3,829.9,122,27,53,1,26,-0.6,2073.4,1013.2,290,15.01,19.81,10.22,1949,Reagan_Intl,0,0.0,0.0,1.0,1
74,4,655.0,134,31,76,7,13,-1.1,2146.4,1217.1,224,13.8,18.58,9.03,1950,Reagan_Intl,0,0.0,0.0,1.0,1
75,5,764.5,113,28,76,10,28,-0.6,2314.0,1050.4,244,14.18,19.15,9.2,1951,Reagan_Intl,0,0.0,0.0,1.0,1
76,6,784.0,118,32,59,3,35,-1.1,2229.8,1205.0,232,14.21,19.08,9.35,1952,Reagan_Intl,0,0.0,0.0,1.0,0
77,7,817.1,112,35,53,2,44,-1.1,2155.5,1300.0,288,14.93,20.05,9.82,1953,Reagan_Intl,0,0.0,0.0,1.0,1
78,8,841.3,110,18,81,11,32,-0.6,2183.1,718.9,291,14.25,19.39,9.11,1954,Reagan_Intl,0,0.0,0.0,1.0,1
79,9,791.2,106,27,83,11,31,0.0,2335.0,1053.4,237,13.92,18.68,9.15,1955,Reagan_Intl,0,0.0,0.0,1.0,1
80,10,640.3,133,23,71,5,23,0.0,2549.5,894.9,222,13.5,18.14,8.85,1956,Reagan_Intl,0,0.0,0.0,1.0,0
81,11,875.8,107,18,59,8,46,-1.1,2261.5,833.1,669,14.44,19.2,9.68,1957,Reagan_Intl,0,0.0,0.0,1.0,1
82,12,677.5,115,33,76,20,23,0.0,2500.6,1159.3,738,13.05,17.5,8.6,1958,Reagan_Intl,0,0.0,0.0,1.0,1
83,13,1020.4,109,23,73,9,42,0.0,2348.2,899.2,102,14.92,19.89,9.95,1959,Reagan_Intl,0,0.0,0.0,1.0,0
84,14,799.6,107,26,91,18,23,-0.6,2401.2,939.5,836,13.51,18.24,8.79,1960,Reagan_Intl,0,0.0,0.0,1.0,1
85,15,815.1,111,32,69,13,36,-0.6,2610.9,1065.7,868,13.71,18.44,8.96,1961,Reagan_Intl,0,0.0,0.0,1.0,1
86,16,738.0,110,25,83,18,21,-1.1,2429.4,840.4,731,13.2,17.88,8.52,1962,Reagan_Intl,0,0.0,0.0,1.0,0
87,17,681.2,92,23,89,17,28,0.0,2604.3,999.7,295,13.18,18.62,7.73,1963,Reagan_Intl,0,0.0,0.0,1.0,1
88,18,801.5,92,23,78,5,49,0.0,2430.2,749.0,710,14.12,19.76,8.48,1964,Reagan_Intl,0,0.0,0.0,1.0,1
89,19,810.5,100,15,89,7,48,-1.1,2499.6,684.7,422,13.77,19.19,8.34,1965,Reagan_Intl,0,0.0,0.0,1.0,1
90,20,849.3,112,25,80,9,59,-1.1,2397.2,915.3,1125,13.79,19.07,8.51,1966,Reagan_Intl,0,0.0,0.0,1.0,1
91,21,681.2,98,27,77,5,24,-3.3,2384.7,969.1,869,13.52,18.99,8.06,1967,Reagan_Intl,0,0.0,0.0,1.0,0
92,22,835.0,97,27,85,14,40,0.0,2439.9,936.0,208,14.16,19.57,8.75,1968,Reagan_Intl,0,0.0,0.0,1.0,1
93,23,856.0,108,22,90,5,39,-1.7,2321.1,1100.2,405,13.99,19.07,8.92,1969,Reagan_Intl,0,0.0,0.0,1.0,1
94,24,956.4,100,23,84,11,55,-0.6,2569.2,1006.4,315,14.27,19.43,9.1,1970,Reagan_Intl,0,0.0,0.0,1.0,1
95,25,824.4,104,30,72,11,29,-1.7,2360.2,1169.0,204,14.37,19.26,9.49,1971,Reagan_Intl,0,0.0,0.0,1.0,1
96,26,640.8,134,34,64,4,16,-0.6,2158.7,1320.1,389,13.7,18.47,8.93,1972,Reagan_Intl,0,0.0,0.0,1.0,1
97,27,929.2,108,21,56,7,37,-0.6,2212.3,889.5,282,15.17,20.19,10.15,1973,Reagan_Intl,0,0.0,0.0,1.0,1
98,28,778.1,114,20,46,0,32,-1.1,1926.0,914.0,148,14.85,20.07,9.62,1974,Reagan_Intl,0,0.0,0.0,1.0,0
99,29,899.9,125,26,53,3,35,-0.6,2134.6,1283.5,335,15.19,19.96,10.41,1975,Reagan_Intl,0,0.0,0.0,1.0,1
100,30,843.8,101,24,77,7,36,-0.6,1925.1,967.2,81,14.34,19.6,9.09,1976,Reagan_Intl,1,0.0,0.0,1.0,1
101,31,958.0,113,24,75,18,46,-0.6,2493.2,918.7,255,14.76,19.71,9.81,1977,Reagan_Intl,0,0.0,0.0,1.0,0
102,32,941.9,113,27,76,6,39,-3.9,2421.7,1004.8,647,14.47,19.14,9.81,1978,Reagan_Intl,0,0.0,0.0,1.0,1
103,33,799.4,126,35,58,15,20,-2.2,2201.5,1202.9,887,14.46,18.98,9.95,1979,Reagan_Intl,0,0.0,0.0,1.0,0
104,34,1091.3,110,21,60,11,67,-1.7,2050.8,745.5,512,15.29,20.07,10.52,1980,Reagan_Intl,0,0.0,0.0,1.0,1
